12600 D loss: 0.056196, acc.: 98.44%, G loss: 0.085777, time: 0:33:23.134692
12650 D loss: 0.085163, acc.: 98.44%, G loss: 0.111328, time: 0:33:29.889935
12700 D loss: 0.091267, acc.: 96.88%, G loss: 0.112466, time: 0:33:36.583178
12750 D loss: 0.063822, acc.: 100.00%, G loss: 0.096694, time: 0:33:43.264754
12800 D loss: 0.048853, acc.: 98.44%, G loss: 0.053423, time: 0:33:49.841850
12850 D loss: 0.043231, acc.: 100.00%, G loss: 0.102397, time: 0:33:56.613427
12900 D loss: 0.036612, acc.: 100.00%, G loss: 0.149605, time: 0:34:03.348326
12950 D loss: 0.112534, acc.: 96.88%, G loss: 0.145857, time: 0:34:09.957679
13000 D loss: 0.097063, acc.: 98.44%, G loss: 0.108113, time: 0:34:16.729255
13050 D loss: 0.153528, acc.: 90.62%, G loss: 0.247587, time: 0:34:23.489963
13100 D loss: 0.074342, acc.: 98.44%, G loss: 0.133320, time: 0:34:30.066219
13150 D loss: 0.380342, acc.: 85.94%, G loss: 0.174256, time: 0:34:36.744090
13200 D loss: 0.028226, acc.: 100.00%, G loss: 0.029867, time: 0:34:43.239418
13250 D loss: 0.063312, acc.: 100.00%, G loss: 0.112271, time: 0:34:49.955102
13300 D loss: 0.053291, acc.: 98.44%, G loss: 0.186541, time: 0:34:56.501260
13350 D loss: 0.034287, acc.: 100.00%, G loss: 0.075242, time: 0:35:03.077231
13400 D loss: 0.057618, acc.: 98.44%, G loss: 0.102642, time: 0:35:09.699508
13450 D loss: 0.074363, acc.: 96.88%, G loss: 0.133005, time: 0:35:16.549892
13500 D loss: 0.208584, acc.: 90.62%, G loss: 0.256673, time: 0:35:23.198632
13550 D loss: 0.089312, acc.: 95.31%, G loss: 0.160385, time: 0:35:30.051970
13600 D loss: 0.162662, acc.: 92.19%, G loss: 0.157381, time: 0:35:36.968299
13650 D loss: 0.032985, acc.: 98.44%, G loss: 0.229856, time: 0:35:43.801681
13700 D loss: 0.119542, acc.: 92.19%, G loss: 0.110027, time: 0:35:50.288859
13750 D loss: 0.050906, acc.: 98.44%, G loss: 0.093264, time: 0:35:57.147224
13800 D loss: 0.374161, acc.: 81.25%, G loss: 0.154355, time: 0:36:03.741873
13850 D loss: 0.076845, acc.: 96.88%, G loss: 0.102976, time: 0:36:10.584043
13900 D loss: 0.094718, acc.: 96.88%, G loss: 0.191877, time: 0:36:17.434203
13950 D loss: 0.052360, acc.: 100.00%, G loss: 0.107399, time: 0:36:24.153042
14000 D loss: 0.107674, acc.: 96.88%, G loss: 0.162740, time: 0:36:30.840013
14050 D loss: 0.081874, acc.: 95.31%, G loss: 0.290814, time: 0:36:37.499717
